         55880329 function calls (55871021 primitive calls) in 89.639 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       56    0.000    0.000    0.001    0.000 functools.py:870(wrapper)
        4    0.000    0.000    0.000    0.000 pythonapi.py:167(__init__)
      632    0.000    0.000    0.000    0.000 multiarray.py:468(can_cast)
       16    0.000    0.000    0.000    0.000 ntpath.py:450(normpath)
       56    0.000    0.000    0.000    0.000 controlflow.py:87(__init__)
       58    0.000    0.000    0.001    0.000 values.py:600(<listcomp>)
        8    0.000    0.000    0.004    0.000 callwrapper.py:20(add_arg)
       74    0.000    0.000    0.000    0.000 core.py:85(function)
       40    0.000    0.000    0.000    0.000 cffi_utils.py:39(is_cffi_func)
        8    0.000    0.000    0.001    0.000 callconv.py:449(_get_return_status)
       30    0.000    0.000    0.000    0.000 controlflow.py:570(_find_back_edges)
  305/142    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
       58    0.000    0.000    0.000    0.000 passmanagers.py:108(initialize)
       30    0.000    0.000    0.002    0.000 lowering.py:1305(alloca_lltype)
       32    0.000    0.000    0.000    0.000 byteflow.py:260(dispatch)
       40    0.000    0.000    0.000    0.000 traceback.py:216(clear_frames)
       56    0.000    0.000    0.000    0.000 value.py:143(name)
      174    0.000    0.000    0.000    0.000 values.py:646(<genexpr>)
        2    0.000    0.000    0.000    0.000 codegen.py:861(set_env)
       32    0.000    0.000    0.000    0.000 module.py:21(_fix_metadata_operands)
       70    0.000    0.000    0.000    0.000 base.py:492(get_value_type)
      190    0.000    0.000    0.000    0.000 templates.py:1178(new_registrations)
       56    0.000    0.000    0.000    0.000 functools.py:814(dispatch)
