         20998046 function calls (20938228 primitive calls) in 12.695 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      131    0.000    0.000    0.004    0.000 values.py:631(descr_prototype)
      314    0.000    0.000    0.001    0.000 ffi.py:188(close)
      261    0.000    0.000    0.002    0.000 builder.py:805(branch)
      411    0.000    0.000    0.002    0.000 uuid.py:778(uuid4)
       26    0.000    0.000    0.001    0.000 pythonapi.py:167(__init__)
     2295    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
      479    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      156    0.000    0.000    0.001    0.000 values.py:479(descr)
      403    0.000    0.000    0.001    0.000 module.py:244(_next)
      950    0.000    0.000    0.000    0.000 models.py:659(get_field_position)
      169    0.000    0.000    0.013    0.000 lowering.py:1305(alloca_lltype)
      253    0.000    0.000    0.001    0.000 inspect.py:2477(__init__)
      334    0.000    0.000    0.035    0.000 errors.py:198(__init__)
      334    0.000    0.000    0.000    0.000 errors.py:217(__exit__)
     2168    0.000    0.000    0.000    0.000 __init__.py:1677(isEnabledFor)
      520    0.000    0.000    0.001    0.000 values.py:813(_format_name)
      204    0.000    0.000    0.001    0.000 numpy_support.py:379(choose_types)
       45    0.000    0.000    0.002    0.000 packer.py:73(__init__)
       16    0.000    0.000    0.001    0.000 compiler_machinery.py:343(dependency_analysis)
 1609/954    0.000    0.000    0.002    0.000 abc.py:100(__subclasscheck__)
      537    0.000    0.000    0.009    0.000 nrtopt.py:74(_process_basic_block)
      284    0.000    0.000    0.001    0.000 context.py:248(_get_attribute_templates)
      492    0.000    0.000    0.004    0.000 functions.py:295(<listcomp>)
       18    0.000    0.000    0.017    0.001 ir.py:111(strformat)
       76    0.000    0.000    0.001    0.000 ir_utils.py:2070(enforce_no_dels)
  344/212    0.000    0.000    0.045    0.000 utils.py:346(__get__)
      467    0.000    0.000    0.003    0.000 builder.py:235(append_basic_block)
      926    0.000    0.000    0.001    0.000 types.py:121(_to_string)
      518    0.000    0.000    0.000    0.000 {method 'rand' of 'numpy.random.mtrand.RandomState' objects}
     1020    0.000    0.000    0.000    0.000 util.py:33(day_of_week)
      200    0.000    0.000    0.002    0.000 builder.py:147(wrapped)
      125    0.000    0.000    0.014    0.000 misc.py:56(literal)
      397    0.000    0.000    0.000    0.000 values.py:683(__init__)
     1020    0.000    0.000    0.001    0.000 util.py:54(work_time)
      874    0.000    0.000    0.000    0.000 builder.py:191(function)
     2540    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
